#Trial: 2  (x[g], y[g], z[g], 3D A_Vec, samples) 
0.12007, -0.21812, 0.99184, 1.02261416228, 144.0
-0.03484, 0.01975, 1.10842, 1.10914326599, 145.0
-0.10962, 0.19577, 1.11345, 1.13583156313, 146.0
-0.00772, 0.20292, 0.93877, 0.960481773747, 147.0
0.06073, 0.16993, 1.00402, 1.02010808163, 148.0
0.15818, -0.03617, 1.03396, 1.04661476337, 149.0
0.05085, -0.48218, 1.37833, 1.46112178267, 150.0
-0.08485, -0.30309, 1.24464, 1.28381922411, 151.0
-0.02433, -0.08667, 1.34604, 1.34904681883, 152.0
0.0094, 0.08699, 1.30404, 1.30697205085, 153.0
0.02529, 0.26159, 1.05232, 1.08464109022, 154.0
-0.02873, 0.24247, 0.88668, 0.919683932773, 155.0
-0.09327, 0.18157, 0.9629, 0.984298413999, 156.0
-0.03565, -0.07054, 1.06967, 1.07258599795, 157.0
0.20158, -0.50738, 1.14808, 1.27128149802, 158.0
0.14589, -0.25549, 1.04368, 1.08435555728, 159.0
-0.06264, 0.02565, 1.16244, 1.16440905428, 160.0
-0.10551, 0.2135, 1.09294, 1.11858502301, 161.0
-0.01186, 0.22141, 0.88008, 0.907581320929, 162.0
0.09553, 0.16135, 0.91272, 0.931781949707, 163.0
0.11785, -0.25868, 1.28439, 1.31547012015, 164.0
-0.15436, -0.37184, 1.07525, 1.14815267177, 165.0
-0.13753, -0.15322, 0.67681, 0.707433845246, 166.0
-0.08299, 0.00941, 1.03379, 1.03715845091, 167.0
0.05332, 0.16225, 1.33059, 1.34150580804, 168.0
0.07881, 0.2641, 1.00436, 1.04148875928, 169.0
0.02744, 0.27225, 0.88696, 0.928208520592, 170.0
-0.07895, 0.18641, 1.00192, 1.02216704946, 171.0
-0.12323, 0.16622, 1.0982, 1.11752313681, 172.0
-0.06649, -0.0931, 0.89628, 0.903552084, 173.0
0.17441, -0.45461, 1.23265, 1.32533585279, 174.0
0.09858, -0.23291, 1.07179, 1.10122608424, 175.0
-0.06382, 0.06086, 1.18346, 1.18674112746, 176.0
-0.11219, 0.241, 1.02438, 1.05831090919, 177.0
-0.02065, 0.21648, 0.89391, 0.919981032957, 178.0
0.11164, 0.0707, 1.00764, 1.01626785308, 179.0
0.25146, -0.16433, 1.2449, 1.2806297242, 180.0
-0.03115, -0.29745, 0.91637, 0.963940248096, 181.0
-0.20564, -0.08316, 0.8698, 0.897638811104, 182.0
-0.09621, -0.01654, 0.96025, 0.965199460319, 183.0
-0.03112, 0.12903, 1.06152, 1.06978591583, 184.0
0.05185, 0.30955, 0.84559, 0.901960128332, 185.0
0.04837, 0.31906, 0.74901, 0.815570303898, 186.0
-0.05178, 0.22799, 0.85943, 0.890662974082, 187.0
-0.23397, 0.03832, 1.0611, 1.08726427022, 188.0
-0.12917, -0.1773, 1.08392, 1.10589454529, 189.0
0.15785, -0.31651, 0.98964, 1.05094363893, 190.0
0.10548, -0.07178, 0.94677, 0.955328127766, 191.0
-0.11672, 0.20972, 1.15056, 1.17532733755, 192.0
-0.13345, 0.329, 1.03364, 1.09291424737, 193.0
-0.06886, 0.32438, 0.902, 0.961024497086, 194.0
0.00971, 0.20592, 0.90583, 0.928991560457, 195.0
0.18959, 0.02278, 1.12927, 1.14530084668, 196.0
0.03495, -0.28916, 0.99623, 1.03793507552, 197.0
-0.16794, -0.29437, 0.95603, 1.01432287828, 198.0
-0.16174, -0.03262, 0.6753, 0.695164715733, 199.0
-0.07634, -0.03012, 1.1144, 1.11741772404, 200.0
0.03042, 0.16004, 1.15717, 1.1685805864, 201.0
0.0244, 0.29826, 0.76596, 0.822343668547, 202.0
-0.09767, 0.13181, 0.95992, 0.973837620653, 203.0
-0.22317, -0.09855, 1.06758, 1.095099999, 204.0
0.0865, -0.23349, 0.77484, 0.813865379347, 205.0
0.20114, -0.05746, 0.58369, 0.620042714093, 206.0
0.07608, -0.007, 0.92466, 0.927811016317, 207.0
-0.05259, 0.04706, 1.19334, 1.19542490659, 208.0
-0.11769, 0.2597, 1.06823, 1.10562668157, 209.0
-0.05572, 0.30389, 0.77853, 0.837593464277, 210.0
-0.00468, 0.20574, 0.92942, 0.9519308727, 211.0
